Time,Frequency 09B35150 (Hgr Walikale - Lab),Frequency 64B734C2 (Hgr Walikale - Cabane),Voltage 09B35150 (Hgr Walikale - Lab),Voltage 64B734C2 (Hgr Walikale - Cabane),Generator_ON
1/15/23 0:00,50,50,230,227,FALSE
1/15/23 0:02,50,50,229,227,FALSE
1/15/23 0:04,50,50,229,227,FALSE
1/15/23 0:06,50,50.1,230,227,FALSE
1/15/23 0:08,50,50,230,226,FALSE
1/15/23 0:10,50.1,50,229,226,FALSE
1/15/23 0:12,50,48.8,229,226,FALSE
1/15/23 0:14,50,50,229,227,FALSE
1/15/23 0:16,50,50,230,227,FALSE
1/15/23 0:18,50.1,50,230,227,FALSE
1/15/23 0:20,50,50,230,224,FALSE
1/15/23 0:22,50,50,229,226,FALSE
1/15/23 0:24,50,50,229,227,FALSE
1/15/23 0:26,50,50,230,227,FALSE
1/15/23 0:28,50,50,229,227,FALSE
1/15/23 0:30,50,50,229,226,FALSE
1/15/23 0:32,50,50,229,226,FALSE
1/15/23 0:34,50,50,230,226,FALSE
1/15/23 0:36,50.1,50,229,225,FALSE
1/15/23 0:38,50,50,229,224,FALSE
1/15/23 0:40,50,51.3,229,227,FALSE
1/15/23 0:42,50.1,50,230,227,FALSE
1/15/23 0:44,50,50,230,227,FALSE
1/15/23 0:46,50,50,229,227,FALSE
1/15/23 0:48,50,50,230,226,FALSE
1/15/23 0:50,50,50,230,223,FALSE
1/15/23 0:52,50,50,229,226,FALSE
1/15/23 0:54,50,50,229,227,FALSE
1/15/23 0:56,50,50,230,227,FALSE
1/15/23 0:58,50.1,50,229,226,FALSE
1/15/23 1:00,50,50,229,226,FALSE
1/15/23 1:02,50,50,229,226,FALSE
1/15/23 1:04,49.9,50,229,226,FALSE
1/15/23 1:06,50,50,230,227,FALSE
1/15/23 1:08,50,50,229,227,FALSE
1/15/23 1:10,50,50,229,226,FALSE
1/15/23 1:12,50,50,229,225,FALSE
1/15/23 1:14,50,50,229,226,FALSE
1/15/23 1:16,50,50,228,228,FALSE
1/15/23 1:18,50,50,229,226,FALSE
1/15/23 1:20,50,50,229,227,FALSE
1/15/23 1:22,50,50,229,227,FALSE
1/15/23 1:24,50,50,229,227,FALSE
1/15/23 1:26,50,50,229,227,FALSE
1/15/23 1:28,50,50,229,226,FALSE
1/15/23 1:30,50,50,229,227,FALSE
1/15/23 1:32,50,50,229,227,FALSE
1/15/23 1:34,50,50,230,227,FALSE
1/15/23 1:36,50,50,229,227,FALSE
1/15/23 1:38,50,50,229,226,FALSE
1/15/23 1:40,50,50,230,226,FALSE
1/15/23 1:42,50,50,230,223,FALSE
1/15/23 1:44,50,50,229,225,FALSE
1/15/23 1:46,50,50,230,227,FALSE
1/15/23 1:48,50,50,230,228,FALSE
1/15/23 1:50,50,50,229,227,FALSE
1/15/23 1:52,50,50,230,226,FALSE
1/15/23 1:54,50,50,230,226,FALSE
1/15/23 1:56,50,50,229,228,FALSE
1/15/23 1:58,50,50,229,227,FALSE
1/15/23 2:00,50,50,230,227,FALSE
1/15/23 2:02,50,50,229,226,FALSE
1/15/23 2:04,50,50,230,226,FALSE
1/15/23 2:06,50,50,230,227,FALSE
1/15/23 2:08,50,50,230,226,FALSE
1/15/23 2:10,50,50,230,225,FALSE
1/15/23 2:12,50,50,230,226,FALSE
1/15/23 2:14,50,50,230,227,FALSE
1/15/23 2:16,50,50,229,224,FALSE
1/15/23 2:18,50,50,230,226,FALSE
1/15/23 2:20,50,50,230,226,FALSE
1/15/23 2:22,50,50,230,227,FALSE
1/15/23 2:24,50,50,230,226,FALSE
1/15/23 2:26,50.1,50,230,225,FALSE
1/15/23 2:28,50,50,229,227,FALSE
1/15/23 2:30,50,50,230,227,FALSE
1/15/23 2:32,50,50,230,226,FALSE
1/15/23 2:34,50,50,230,226,FALSE
1/15/23 2:36,50,50,230,227,FALSE
1/15/23 2:38,50,50,230,227,FALSE
1/15/23 2:40,49.9,50,230,226,FALSE
1/15/23 2:42,50,50,230,227,FALSE
1/15/23 2:44,50,50,229,227,FALSE
1/15/23 2:46,50,50,229,227,FALSE
1/15/23 2:48,49.9,50,229,227,FALSE
1/15/23 2:50,50,50,229,227,FALSE
1/15/23 2:52,50.1,50,229,227,FALSE
1/15/23 2:54,50,50,228,227,FALSE
1/15/23 2:56,50,50,229,226,FALSE
1/15/23 2:58,50,49.9,229,227,FALSE
1/15/23 3:00,50,50,229,226,FALSE
1/15/23 3:02,50,50,230,227,FALSE
1/15/23 3:04,50,50,230,224,FALSE
1/15/23 3:06,50,50,230,227,FALSE
1/15/23 3:08,50,50,230,227,FALSE
1/15/23 3:10,50,50,230,227,FALSE
1/15/23 3:12,49.9,50,229,226,FALSE
1/15/23 3:14,50,50,230,227,FALSE
1/15/23 3:16,50,50.1,229,227,FALSE
1/15/23 3:18,50,50,229,225,FALSE
1/15/23 3:20,50,50,230,226,FALSE
1/15/23 3:22,50,50,230,227,FALSE
1/15/23 3:24,50,50,229,227,FALSE
1/15/23 3:26,50,50,230,224,FALSE
1/15/23 3:28,50,50,230,226,FALSE
1/15/23 3:30,50.1,99.9,229,226,FALSE
1/15/23 3:32,50,50,229,227,FALSE
1/15/23 3:34,50,49.9,230,227,FALSE
1/15/23 3:36,50,50,229,226,FALSE
1/15/23 3:38,50,51.3,230,224,FALSE
1/15/23 3:40,50,50,230,227,FALSE
1/15/23 3:42,50,50,230,226,FALSE
1/15/23 3:44,50,50,229,226,FALSE
1/15/23 3:46,50,50,230,226,FALSE
1/15/23 3:48,50,50,230,226,FALSE
1/15/23 3:50,50,,229,,FALSE
1/15/23 3:52,50,50,230,227,FALSE
1/15/23 3:54,50,50,230,226,FALSE
1/15/23 3:56,50,50,229,227,FALSE
1/15/23 3:58,50,50,230,227,FALSE
1/15/23 4:00,50.1,50,229,226,FALSE
1/15/23 4:02,50,50,230,227,FALSE
1/15/23 4:04,50,50,230,227,FALSE
1/15/23 4:06,50,50,229,227,FALSE
1/15/23 4:08,50,50,229,224,FALSE
1/15/23 4:10,50,50,229,226,FALSE
1/15/23 4:12,50,50,230,227,FALSE
1/15/23 4:14,50,50.1,229,225,FALSE
1/15/23 4:16,50,50,230,226,FALSE
1/15/23 4:18,50.1,50,228,226,FALSE
1/15/23 4:20,50,50,229,227,FALSE
