"Time","Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)","Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)"
2022-06-25 00:00:00,51.0,50.9,219,221
2022-06-25 00:02:00,50.6,50.6,218,220
2022-06-25 00:04:00,50.4,50.4,220,221
2022-06-25 00:06:00,50.6,50.6,221,221
2022-06-25 00:08:00,50.5,50.5,219,221
2022-06-25 00:10:00,50.5,50.5,218,220
2022-06-25 00:12:00,50.7,50.6,220,221
2022-06-25 00:14:00,50.5,50.6,220,221
2022-06-25 00:16:00,50.3,50.4,219,221
2022-06-25 00:18:00,50.7,50.7,219,221
2022-06-25 00:20:00,50.6,50.6,222,223
2022-06-25 00:22:00,50.6,50.5,221,222
2022-06-25 00:24:00,50.7,50.6,219,221
2022-06-25 00:26:00,50.6,50.5,219,220
2022-06-25 00:28:00,50.7,50.7,219,221
2022-06-25 00:30:00,50.3,50.4,221,222
2022-06-25 00:32:00,50.3,50.3,218,220
2022-06-25 00:34:00,50.4,50.5,219,221
2022-06-25 00:36:00,50.6,50.6,219,220
2022-06-25 00:38:00,50.5,50.5,221,221
2022-06-25 00:40:00,50.8,50.7,221,222
2022-06-25 00:42:00,50.3,50.4,220,222
2022-06-25 00:44:00,50.5,50.5,220,222
2022-06-25 00:46:00,50.5,50.5,221,223
2022-06-25 00:48:00,50.4,50.3,219,219
2022-06-25 00:50:00,50.5,50.4,218,219
2022-06-25 00:52:00,50.4,50.4,217,219
2022-06-25 00:54:00,50.7,50.6,221,223
2022-06-25 00:56:00,50.3,50.3,221,222
2022-06-25 00:58:00,50.4,50.5,220,222
2022-06-25 01:00:00,50.4,50.5,220,222
2022-06-25 01:02:00,50.4,50.4,221,222
2022-06-25 01:04:00,50.4,50.4,221,223
2022-06-25 01:06:00,50.5,50.5,222,223
2022-06-25 01:08:00,50.5,50.5,219,221
2022-06-25 01:10:00,50.4,50.5,220,222
2022-06-25 01:12:00,50.6,50.5,221,223
2022-06-25 01:14:00,50.6,50.5,223,223
2022-06-25 01:16:00,50.4,50.4,221,222
2022-06-25 01:18:00,50.7,50.6,220,222
2022-06-25 01:20:00,50.5,50.5,220,222
2022-06-25 01:22:00,50.4,50.4,222,223
2022-06-25 01:24:00,50.2,50.3,219,221
2022-06-25 01:26:00,50.4,50.3,220,222
2022-06-25 01:28:00,50.4,50.4,220,222
2022-06-25 01:30:00,50.6,50.6,221,222
2022-06-25 01:32:00,50.5,50.4,223,223
2022-06-25 01:34:00,50.3,50.3,220,222
2022-06-25 01:36:00,50.5,50.5,220,222
